;Combat;Dragon;Eau;Electrik;Feu;Glace;Insecte;Normal;Plante;Poison;Psy;Roche;Sol;Spectre;Vol;;
Combat;1;1;1;1;1;1;0.5;1;1;1;2;0.5;1;1;2;;
Dragon;1;2;0.5;0.5;0.5;2;1;1;0.5;1;1;1;1;1;1;;
Eau;1;1;0.5;2;0.5;0.5;1;1;2;1;1;1;1;1;1;;
Electrik;1;1;1;0.5;1;1;1;1;1;1;1;1;2;1;0.5;;
Feu;1;1;2;1;0.5;1;0.5;1;0.5;1;1;2;2;1;1;;
Glace;2;1;1;1;2;0.5;1;1;1;1;1;2;1;1;1;;
Insecte;0.5;1;1;1;2;1;1;1;0.5;2;1;2;0.5;1;2;;
Normal;2;1;1;1;1;1;1;1;1;1;1;1;1;0;1;;
Plante;1;1;0.5;0.5;2;2;2;1;0.5;2;1;1;0.5;1;2;;
Poison;0.5;1;1;1;1;1;2;1;0.5;0.5;2;1;2;1;1;;
Psy;0.5;1;1;1;1;1;2;1;1;1;0.5;1;1;0;1;;
Roche;2;1;2;1;0.5;1;1;0.5;2;0.5;1;1;2;1;0.5;;
Sol;1;1;2;0;1;2;1;1;2;0.5;1;0.5;1;1;1;;
Spectre;0;1;1;1;1;1;0.5;0;1;0.5;1;1;1;2;1;;
Vol;0.5;1;1;2;1;2;0.5;1;0.5;1;1;2;0;1;1;;